Customer_ID,Customer_Name,Segment,Region,Signup_Date
C0332,Customer 0332,Small Business,Cairo,2023-12-01
C0333,Customer 0333,Consumer,Cairo,2024-06-02
C0334,Customer 0334,Consumer,Alexandria,2023-05-17
C0335,Customer 0335,Consumer,Canal,2024-05-12
C0336,Customer 0336,Consumer,Delta,2024-04-21
C0337,Customer 0337,Corporate,Delta,2023-08-11
C0338,Customer 0338,Small Business,Cairo,2024-01-07
C0339,Customer 0339,Consumer,Upper Egypt,2024-02-06
C0340,Customer 0340,Consumer,Cairo,2024-03-18
C0341,Customer 0341,Consumer,Delta,2024-05-04
C0342,Customer 0342,Consumer,Delta,2023-09-30
C0343,Customer 0343,Consumer,Delta,2024-06-09
C0344,Customer 0344,Consumer,Cairo,2023-06-08
C0345,Customer 0345,Consumer,Cairo,2023-06-01
C0346,Customer 0346,Small Business,Alexandria,2023-07-07
C0347,Customer 0347,Small Business,Cairo,2023-04-08
C0348,Customer 0348,Consumer,Delta,2023-05-11
C0349,Customer 0349,Consumer,Cairo,2023-06-20
C0350,Customer 0350,Small Business,Delta,2023-07-02
